anime_id,name,genre,type,episodes,rating,members,overview
3793,Nogsaegjeoncha Haemosu,"Action,Adventure,Fantasy,Shounen",tv series,2,5.48,43039.58709273302,"""Usavich is a series about an odd pair of rabbits imprisoned in a Soviet Gulag. Shows the absurd everyday occurrences of the two rabbits' prison life, and the the two rabbits' life on the run from law enforcement."""
1642,Manga Doushite Monogatari,"Adventure,Comedy,Kids",tv series,51,7.56,137602.64800219212,"""Elected as student council president with 98% of votes, Medaka is a brilliant students who will help students any way she can. This leads to the introduction of a suggestions box, which will later be given the nickname of 'Medaka Box'. Some of the suggestions therein, however, will provide some tough challenges for her and her student council friends.::Mattias1"""
5449,Busou Shoujo Machiavellianism,"Action,School,Shounen",movie,1,6.62,16884.130436946936,"'Set of rapid telescopic images of a gym, in fast forward, traveling through itself, space and time.::Alp'"
3414,Go Go Toraemon,"Comedy,Sports",movie,78,6.09,7980.626173758376,"'During the course of one day, a group of students at a school in Los Angeles find themselves caught up in a plot of sex, lies and dead bodies.::Anonymous'"
11319,Ef: A Tale of Melodies.,"Animation,Drama,Romance",tv series,12,7.77,53262.871075452655,"'In a story set years in the past, Himura Yuu is a studious and diligent young man intent solely on maintaining his top academic position at Otowa Academy. One day, he meets a mysterious girl named Amamiya Yuuko, who, to his surprise, recognizes him. Memories of a distant childhood, memories rather left forgotten - meeting Yuuko again will force Yuu to confront the regrets and sorrows of their collective pasts and presents. In the present, Kuze Shuuichi may seem like a womanizer, but upon closer inspection, is a man who would rather be left alone. Hayama Mizuki, however, is not the type of girl who would let him be, especially after hearing the beautiful sounds of his violin performance. As Mizuki attempts to become closer to him, Kuze attempts to push her away - the tale of their budding relationship is darkened with undertones of an imminent tragedy.'"
10683,Toushindai no watashi,Short,movie,4,7.24,83074.94378762951,
9824,Ashiaraiyashiki no Juunin-tachi,"Action,Fantasy,Seinen,Supernatural",movie,1,6.49,11152.41964103686,
839,Pokemon: Pikachu no Kirakira Daisousaku!,"Adventure,Comedy,Fantasy,Kids",tv series,2,6.3,111492.95827494204,"""2019, Divergence Ratio 1.048596. The near future, where a device popularly called the PokeCom, packaged with PhoneDroid OS, spreads, bringing the Augmented Reality world close to existence. Central Tanegashima High School's Robot Research Club is in danger of losing its club status. Kaito Yashio, one of only two members, is only obsessed with robot fighting games, showing no interest in the Robo Club even in this situation. The reckless, useless club head, Akiho Senomiya, aims to complete a giant robot, struggling hard to avoid losing the club's status. Then, one day, Kaito discovers the A.R. annotation that becomes the Kimijima Report. Written in that report is the indictment of someone named Kou Kimijima's conspiracy involving the world. (Source: VNdb)"""
8176,Binetsu Hime: Zange no Shou,Hentai,movie,8,6.05,146569.25307017769,"'Earth has been attacked by the Black Nebula Empire and is threatening to blow up the planet if they are counterattacked, The Yamato crew try to defuse the bomb.'"
18007,Nisekoi: False Love,"Comedy,Drama,Romance",movie,0,6.47,126092.72095876036,"'Two children of rival gangster families are betrothed to each other to ensure a truce. They dislike each other in the beginning, but over time they start to like each other.'"
24839,Seimei no Kagaku: Micro Patrol,Adventure,movie,7,4.21,183911.2132318827,"'Ken wants justice for his brother Bill, who was killed by a notorious gunman named Stevens for a goldmine map. The gunman is arguing with gangster Malone about the map. A deadly cat and mouse game between the three men ensues.', 'Ken wants justice for his brother Bill, who was killed by a notorious gunman named Stevens for a goldmine map. The gunman is arguing with gangster Malone (Horst Frank) about the map. A deadly cat and mouse game between the three men ensues.'"
1741,Vampire Knight Guilty,"Animation,Action,Horror,Romance",tv series,4,5.63,45216.019919842205,'Vampire Knight is a story about how Vampires Survive without drinking blood::Amalee Woolman'
21831,Medaka no Gakkou,Comedy,movie,1,5.01,72332.12526738468,
2866,Saru to kani saru to kani no gassen,"Animation,Short",movie,4,6.96,48811.828718639474,
22473,Genroku koimoyo Sankichi to Osayo,"Animation,Short",movie,1,5.54,932.1951839424886,
953,Choco Taco,Comedy,tv series,11,7.41,2909.9742469037883,
31563,Precure All Stars Movie: Haru no Carnival♪,"Action,Comedy,Fantasy,Magic,Music,Shoujo",movie,1,7.12,98423.94270528584,"""When Natsumi's father dies she return to the forest which she had visited with him with his motorcycle. She meets and decides to stay with a family who also own a store nearby.::aghaemi"""
21703,Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special,"Comedy,Fantasy,Shoujo",movie,1,6.49,63615.30345643911,"'Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.::GKIDS', 'An old man makes a living by selling bamboo. One day, he finds a princess in a bamboo. The princess is only the size of a finger. Her name is Kaguya. When Kaguya grows up, 5 men from prestigious families propose to her. Kaguya asks the men to find memorable marriage gifts for her, but the 5 men are unable to find what Kaguya wants. Then, the Emperor of Japan proposes to her.::Anonymous', ""Deep into a swaying and lush bamboo forest, Okina, an elderly farmer, stumbles upon a mysteriously glowing bamboo stalk, that from within, a minuscule fairy-like creature enfolded in a royal robe sprouts before his amazed eyes. Without delay, the ageing man rushes to his wife, Ona, only to witness, much to their surprise, the tiny nymph transform into a baby. In the end, as the infant grows exponentially into a fine girl, the humble couple will take her to the capital, Kyoto, to make her an aristocratic and well-mannered lady worthy of Japan's most powerful suitors. But is this Princess Kaguya's fate?::Nick Riganas"""
5344,Cosmo Police Justy,"Animation,Short,Action,Sci-Fi",movie,20,6.37,6851.484546483074,"'In the future humanity is spread throughout the galaxy. In their efforts to combat criminal espers the Cosmo Police are fortunate to have Justy on their side. However the esper criminals also know this and some of them are making plans for Cosmo Policeman Justy. As their leader says ""There\'s only one way to kill the most powerful esper in the galaxy"".::myanimelist'"
1658,The Severing Crime Edge,"Animation,Action,Fantasy,Romance",tv series,1,6.69,85967.54805605598,
336,Vocaloid China Project Senden Animation,"Fantasy,Music",movie,13,6.54,79750.90251150394,'A man fails to break up the relationshiop between the girl he loves and her fiance. He decides to prove his love by writing lyrics for the songs she composed and entering them in a contest::Anonymous'
647,Uchuusen Sagittarius Pilot,"Adventure,Sci-Fi",tv series,2,6.44,55168.928503851625,
1428,Otogi sutôrî tenshi no shippo,"Animation,Comedy",tv series,1,6.48,57785.75306281647,'A down on his luck guy is told by a fortune teller that his luck will change. Soon after three girls appear claiming to be his guardian angels.'
2150,Xiyue Qi Tong (2006),"Action,Adventure,Fantasy",movie,78,7.95,93382.3030316413,"""Behind-the-scenes documentaries about 'Princess Mononoke,' from the film's conception up to its theatrical release and after - eventually rewriting the box office record in Japan. The documentaries include: Behind-the-scenes production process at the studios, the vocal cast doing overdubs and ADR sessions, featurette on the impact of the film on Japanese society."""
6235,Kakumeiteki Broadway Shugisha Doumei,Music,movie,2,6.41,8665.76522203389,"'The mahjong club at the girl school is determined to win the national tournament. Following the TV serial where the club members win the tournament, the five students compete to reach the semi-finals here. The main character Shizuno played mahjong at grade school and hopes to reunite with her close friends of those years.::aghaemi'"
15897,Kaitei Daisensou: Ai no 20.000 Miles,"Animation,Action,Adventure,Sci-Fi",movie,52,6.83,50790.16350619337,
8158,Noramimi,Animation,tv series,7,6.23,48074.028855531375,
1442,Houkago Midnighters,"Fantasy,Kids",tv series,13,5.81,137600.4438199882,"""With aims to one day reach out into the stars, humanity has colonized all the planets of the solar system. This story of young high school hopefuls is set in Fourth Tokyo in a Japanese Martian prefecture. Iris Shirasaki is a third year student/aspiring test pilot. Mizuki Sera is her peer/mechanic and Mizuki's brother Kaito is their homeroom teacher and the young director of the program developing their talents.::Crunchyroll"""
916,Choujikuu Seiki Orguss,"Action,Adventure,Mecha,Romance,Sci-Fi,Shounen",movie,13,6.71,170484.73353235202,
22625,Gakuen de Jikan yo Tomare,Hentai,movie,1,6.0,106007.96338611052,"""In order to wish for immortality and avenge his father, Garlic Jr. collects the dragon balls, kidnapping Goku's son Gohan in the process. Goku, Kami, Piccolo, and Krillin unite to rescue Gohan and save the world from being sucked into a dead zone.::page8701"""
29609,Symphony of Movement: Moods and Variations,"Drama,Musical",tv series,1,5.49,127190.74783291545,
21659,Canvas: Sepia-iro no Motif,"Comedy,Romance,SliceofLife",movie,1,7.82,67514.0874429431,'A comedy between a young girl and her two housemaid boyfriends.'
