anime_id,name,genre,type,episodes,rating,members,overview
21821,Aoki Honô,"Animation,Drama,Romance",tv series,12.0,5.82,15758,"'The story of Ryuuichi a man trying to get ahead in life, and make a name for for himself, along the way he meets (and sleeps with) many women. Based a manga by Kimio Yanagisawa.::Shadowjac'"
23,Battle Programmer Shirase,"Animation,Comedy,Sci-Fi",tv series,12.0,6.7,2224,"""Two strangers' lives become inextricably bound together after a devastating plane crash."", ""Two strangers' lives become inextricably bound together after a devastating plane crash. Inspired by actual events, AFTERMATH tells a story of guilt and revenge after an air traffic controller's (Scoot McNairy) error causes the death of a construction foreman's (Arnold Schwarzenegger) wife and daughter."", 'Near Christmas, the construction foreman Roman is eager to welcome his wife and pregnant daughter that are coming home. When he arrives at the airport, he is informed that their plane has crashed with no survivors, destroying his life. The air traffic controller Jacob ""Jake"" Bonaos commits an error and two planes collide. Jake is forced to have another identity and move to another town, being separated from his beloved wife Christina and son. Roman hires a private investigator to locate Jake. When Roman meets him, a tragedy happens.::Claudio Carvalho, Rio de Janeiro, Brazil', ""Eagerly preparing for the return of his wife and his pregnant daughter from Kiev, construction manager Roman Melnyk anxiously awaits their arrival to pick them up at the airport. Instead, Roman will receive the worst news that anyone could ever receive, as well as the irrevocable certainty that his family has perished in a tragic mid-air collision with no survivors. However, in the background of this calamity, another tragedy occurs as the well-meaning air traffic controller and family man Jake who is held accountable is squashed under the weight of his actions. In the end, with so many lives lost unjustly and unexpectedly, in the aftermath of the two men's grief and sorrow, revenge might sound as a sweet alternative, but sometimes, an apology is enough.::Nick Riganas"""
33300,Houkago no Pleiades: Manner Movie,Historical,tv series,88.0,6.5,37,'The scientist cyborg girl Kuze Airi and her friend the busty half-dog girl Hizuki Ayana go to extremes with the power of science.'
33881,Mo Gyutto Love de Sekkinchuu!,Music,tv series,2.0,7.18,116,
26153,Fortune Quest,,movie,1.0,8.0,51,
953,Choco Taco,Comedy,tv series,11.0,7.41,44766,
32944,Saredo Tsumibito wa Ryuu to Odoru,"Action,Drama,Fantasy,Sci-Fi",tv series,39.0,4.53,318,
3004,Toushindai My Lover: Minami tai Mecha-Minami,Hentai,tv series,2.0,6.38,2708,"'Best friends Mikan and Hotaru are separated when Hotaru is scouted by a special school called ""Alice Academy."" Mikan determines to enroll too but Alice Academy is a mysterious place.'"
13357,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Comedy,Romance,Seinen,SliceofLife",tv series,6.0,7.37,75439,
15533,Gen'ei toshi,,tv series,2.0,5.43,328,
3078,Hadashi no Gen,Music,tv series,3.0,6.12,1027,"'The story of Gen Nakaoka and his family, who lived in Hiroshima at the time it was atom-bombed, and their struggles and trials amidst the nuclear holocaust.'"
6063,Mobile Police Patlabor Reboot,"Short,Comedy,Crime,Sci-Fi",movie,1.0,4.7,110,
269,Manga Naruhodo Monogatari,"Adventure,Kids",tv series,366.0,7.95,624055,
33888,Jubilee,"Comedy,Drama,Fantasy,Music",tv series,3.0,4.67,35,"'Queen Elisabeth I travels 400 years into the future to witness the appalling revelation of a dystopian London overrun by corruption and a vicious gang of punk guerrilla girls led by the new Monarch of Punk.::Nick Riganas', ""From the distant 16th century, Queen Elisabeth I summons the spirit Ariel with the aid of the court's alchemist, the sage Doctor John Dee, to witness the appalling revelation of a dystopian London drowned in filth and plagued with crime. As a result, the Queen horrified with the vivid vision of a broken-down British Empire, asks to travel beyond the veil of time, some 400 years into the future, to see firsthand, that in this futuristic and horrendous new order, the capital is overrun by a corrupt police and that an autonomous vicious gang of punk guerrilla girls led by the new Monarch of Punk, Bod, has declared a multi-levelled open war. Now that Britain is practically a wasteland, where is her Majesty, the righteous Queen Elisabeth II?::Nick Riganas"", 'Queen Elizabeth I travels to late twentieth-century Britain to discover a tawdry and depressing landscape where life mostly seems aimless and is anyway held cheap. Three post-punk girls while away their vacuous existence as best they can, from time-to-time straying into murder to relieve the boredom.::Jeremy Perkins {J-26}'"
31258,Innocent Venus,"Animation,Sci-Fi",movie,1.0,3.61,98,
28859,Committed RED,"Animation,Short,Music",movie,1.0,6.81,2068,
2874,Classical Sex-Zone,"Hentai,School",movie,1.0,5.57,868,"'A white ermine escapes from an exotic pet store, and is found unconscious by a college student, who takes him home to his apartment complex. Now named ""Kojopî"", he struggles to adapt to his new life in the building; where he encounters the oft-eccentric human tenants, and their pets.::Akira (akira625@comcast.net)'"
