anime_id,name,genre,type,episodes,rating,members,overview
6311,Sêrâ faitâ Nanamichan,Short,movie,26.0,6.08,357,
181,Saiunkoku Monogatari 2nd Season,"Adventure,Comedy,Drama,Fantasy,Historical,Romance",movie,13.0,7.54,36264,
5640,Crayon Shin-chan Manatsu no Yoru ni Ora Sanjou! Arashi wo Yobu Den-O vs Shin-O 60-bu Special!!,"Action,Comedy,Kids,Shounen,SuperPower",movie,1.0,6.07,402,
3675,Psychic Academy,"Animation,Comedy,Romance",tv series,1.0,6.19,737,
1842,Hanappe Bazooka,"Animation,Comedy,Fantasy",movie,26.0,8.4,29528,
31002,Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,"Action,Comedy,Ecchi,Shounen,Sports",tv series,1.0,7.0,38,"'A white ermine escapes from an exotic pet store, and is found unconscious by a college student, who takes him home to his apartment complex. Now named ""Kojopî"", he struggles to adapt to his new life in the building; where he encounters the oft-eccentric human tenants, and their pets.::Akira (akira625@comcast.net)'"
14811,Xuehai Hua,Drama,movie,12.0,7.48,83838,
5953,Jîn daibâ,"Animation,Sci-Fi",tv series,62.0,6.8,783,
2239,Hetalia: The World Twinkle Extra Disc,"Comedy,Historical,Parody",tv series,2.0,5.26,417,
16514,Ikusa Otome Valkyrie Shinshou,Hentai,movie,1.0,6.19,152,"""Akira is beautiful-so much so that he can have any girl...or guy that he lays eyes on. Unfortunately, the only woman he has ever wanted is the one woman he could never have-his own sister. When he first met Kaname-innocent to the ways of the world-his own world slowly began to change. The realization of the reality that his sister can never be his and that he can never find true comfort in her arms devastates him. There, from the depths of his despair, he finds salvation in Kaname's loving embrace.::animenewsnetwork.com"""
4101,Miboujin: Numeriau Nikuyoku to Midara ni Nureru Mitsusubo,Hentai,tv series,51.0,6.81,432,
1902,Wasurenagumo,"Animation,Fantasy,Mystery",movie,1.0,6.89,5037,"'This story involves the shopkeeper Suzuri of Kokumondou who sells historic books and Mizuki, granddaughter of the land owner. When Mizuki releases a somewhat cute young spider demon out of a sealed book, the pair investigate the origins behind it::bbcgjg'"
19747,Sekirei: Pure Engagement,"Animation,Comedy",tv series,2.0,3.43,144,"""The battle to find the supreme Sekirei continues. Still some of the fighters and their masters refuse to participate in the battle since losing it means to lose the Sekirei forever, and many of them actually care about their partners, while others just use them as tools. A storm is rising on the horizon, a bigger threat approaches the city and it's about to bring pain and suffering to those who love and care for their Sekireis.::Anonymous"""
2249,Master Blaster,Short,movie,1.0,5.6,2781,
22959,Terajima-chou Kidan: Ginnagashi,Historical,movie,1.0,5.67,77,
2671,Ticonderonga no Iru Umi,"Drama,Historical,Kids",tv series,1.0,7.32,1156,
6733,Furusato saisei: Nihon no mukashi banashi,Animation,tv series,1.0,6.81,783,"'Anime television series that adapts various traditional stories from Japan.', 'A Japanese anime television series that adapts various traditional stories from Japan. The narration and all character voices of ""Hometown Rebuilding: Folktales from Japan"" are provided by veteran Japanese film actors Akira Emoto and Yoneko Matsukane.'"
30424,Kamiusagi Rope x Boruto: Naruto Next Generations,"Animation,Short,Comedy",movie,1.0,5.1,164,
24371,Goku basasu Goku! Kangoku Wakusei de Chozetsu Batoru Kaimaku!,"Animation,Action,Adventure,Fantasy",tv series,1.0,6.87,2078,
29507,Tanpen Unico: Kuroi Kumo to Shiroi Hane,"Adventure,Fantasy,Kids",tv series,4.0,6.0,42,
32639,Kansen 3: Shuto Houkai,"Comedy,Talk-Show",movie,1.0,4.32,41,"'The tale of Bardock, the father of Goku, and his rebellion against his master the mighty Frieza.', ""A prequel to the original Dragonball series, this TV movie tells the story of Son Goku's father Bardock and his futile attempt to stop Freeza from destroying his planet Vegeta. It also shows how little Kakarotto (Son Goku) ends up on earth!::Anonymous"""
31631,The World of Narue,"Animation,Comedy,Romance,Sci-Fi",tv series,48.0,6.03,6848,"""Now there's no need to wait for individual volumes - you can get the entire epic all at once! Narue is an adorable school girl with a secret. She's really an alien with powers right out of a sci-fi comic book. Join our spunky heroine as she faces androids, alien invaders, and her first date with the boy next door. It's the sci-fi comedy that's a direct hit to your heart.::CPM"""
28683,Kero Kero Keroppi no Bikkuri! Obakeyashiki,"Comedy,Fantasy,Kids",tv series,1.0,7.41,4225,"'High school student Junichi Tachibana attempts to find love once again after having his heart broken last Christmas. This series follows his romantic endeavors in a sequence of six separate arcs, each involving a different heroine.'"
21373,Timbre A to Z,Music,movie,6.0,6.64,12299,
4961,Kodomo no Jikan Recap,"Animation,Action,Adventure,Comedy",movie,2.0,6.69,831,"""Akira is beautiful-so much so that he can have any girl...or guy that he lays eyes on. Unfortunately, the only woman he has ever wanted is the one woman he could never have-his own sister. When he first met Kaname-innocent to the ways of the world-his own world slowly began to change. The realization of the reality that his sister can never be his and that he can never find true comfort in her arms devastates him. There, from the depths of his despair, he finds salvation in Kaname's loving embrace.::animenewsnetwork.com"""
10270,Servant X Service,Animation,tv series,1.0,4.62,227,
14073,Nijuusou: Wana ni Ochita Onna-tachi,Hentai,movie,10.0,6.34,16438,
3247,Ryokan Shirasagi,Hentai,movie,1.0,7.32,21824,"'A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.::Rick Ferncase <ferncase@chapman.edu>', 'Young, attractive and vivacious, model Diana Scott is firmly decided to become rich and famous as well. To succeed, she does not hesitate to take bold steps. After a while, she literally strikes gold: she meets Robert Gold, a well-known TV journalist, who not only introduces her into new social and professional circles, but also abandons his family to live with her. Diana seems to have happily combined success and love. However, in those roaring sixties, others are ready to offer her even more money, fame, and, seemingly, fun than Robert can...::Eduardo Casais <casaise@acm.org>', 'Twenty-something Italian Princess della Romita, better known to her British fans as Sussex born Diana Scott, is giving an interview to a reporter in which she describes her life. She is straightforward about the facts. She worked as a London based model, her most famous job being as the Honeyglow girl, and had a moderately successful stint as an actress in small roles both on film and in commercials. She married her first husband Tony Bridges when they were both quite young, but she left him when she fell into an unplanned relationship with television journalist Robert Gold, who was at the time married himself with a family. Although she and Robert never married, they lived together for some time. She and Robert split after she fell into an unplanned relationship with advertising executive Miles Brand, who was the one who discovered her as the Honeyglow girl. She met her current husband, the Prince Cesare della Romita while she was working and vacationing in Italy. But behind these facts, she is less than forthright about her emotions in each of these moves, and the motivations for them. If she was forthright, she would expose herself as the vain and self-centered person she is, who was most understood by Miles, but who Robert began to understand, albeit too late.::Huggo', 'Beautiful but easily bored Diana Scott becomes a popular model and actress in London in the 1960s while toying with the affections of two older men, married television newsman Robert Gold and public relations mastermind Miles Brand. Although Diana is the toast of swinging London, the dark side of fame and fortune begins to take its toll, but it proves harder to escape the mod scene than she expects.::Jwelch5742', ""Diana Scott is a young London model who decides to climb the social ladder quickly by jumping, rather fecklessly, in and out of assorted beds. She is a reckless seeker of self caught up in a frenzied sexcursion of jet-set Europe, in search of new experiences and finding emptiness at every level. Sardonically comic observations on various forms of self-indulgence among the wealthy emphasize the false values which have destroyed Diana's chance of genuine self-fulfillment.::alfiehitchie"""
5570,El visual del sonido,Short,movie,1.0,5.44,444,
18327,The Collected Animations of ICAF (2001-2006),"Fantasy,Mystery",movie,1.0,5.0,70,"""A group of Yokohama teens look to save their school's clubhouse from the wrecking ball in preparations for the 1964 Tokyo Olympics.::Anonymous"""
5082,Ushio to Tora: Comically Deformed Theater,"Action,Comedy",tv series,50.0,6.84,1336,
20913,Sukeban Boy,"Action,Comedy,Horror",movie,1.0,5.99,1807,"'A raucous teen boy with a feminine face is teased everywhere, so his odd biker father dresses him as a girl and sends him to an all-girl school. The lad introduces himself as Sukeban, and a classmate, Michiko, takes him to after-school activities. Lessons on humility turn violent when a masked hatchet-wielding woman turns up. Jealousy, syringes of hormones, bare breasts, a blood bath, and more figure in the resolution.::<jhailey@hotmail.com>'"
29545,Oshiri Kajiri Mushi (TV) 2nd Season,"Comedy,Kids",movie,1.0,5.75,42,
29017,Heroman,"Animation,Action,Sci-Fi",tv series,13.0,6.77,2810,"'A sketch comedy about three friends attending an all boys school.::Mattias1', ""High school boys are really simple and curious creatures. They want one and only one thing: girls. But they haven't got a clue about them. Male teenagers are dumbfounded by the girls' thought process, actions, appearance and everything in between. They spend countless hours amongst themselves discussing and arguing their theories which are usually completely off base. If only they had the courage to ask them instead of screwing around and talking about nonsensical things, they might get somewhere.::baka-updates"""
684,Ring ni Kakero 1: Sekai Taikai-hen,Sports,movie,11.0,6.64,3674,
10819,Pokemon: Pikachu Koori no Daibouken,"Adventure,Comedy,Fantasy,Kids",tv series,1.0,7.13,2077,
8057,Rouge: Ladys Comic Video,"Drama,Josei,Romance",movie,12.0,7.15,13089,
29513,Lightning Trap: Leina and Laika,"Animation,Adventure",movie,1.0,7.21,9611,"'Terrorists attack the new airplane Lightning L808, and only a special agent and a young schoolgirl on board can stop them.'"
20919,Shuten Douji,"Drama,Kids",tv series,1.0,5.47,11802,'An Oni delivered Jiro to his parents who would return for him 15 years later. Now Jiro must protect both his parents and his girlfriend as he faces his destiny.'
1003,Liao Zhongkai Xiansheng Wei Guangdong Binggongchang Qingnian Gongren Xuexiao Kaimu,"Documentary,Short",movie,3.0,7.61,19257,
20057,Hawaiian Rockn Roll,"Kids,Music",tv series,13.0,7.86,123529,"""A nerd gets himself in hot water with the new bully, a quiet bad boy who challenges him to fight on the grounds of their high school after the day's end.::mystic80"", 'A high school nerd, Jerry Mitchell (Siemaszko) is assigned to write a piece for the school paper about new boy Buddy Revell (Tyson), who is rumored to be a psychopathic nutcase. When Jerry accidentally touches Buddy, he says that they must fight in the parking lot at 3pm. Jerry will just about do anything to avoid the confrontation.::Corey Semple (AdamSandlers8SexyNights)'"
26341,Maharaja,"Drama,Family",movie,1.0,6.17,56,
25519,Sansha Sanyou Specials,"Comedy,School,SliceofLife",tv series,12.0,7.52,59192,
935,Jinsen shonen hei,"Animation,Action,Adventure,Comedy,Fantasy,Sci-Fi",movie,24.0,7.4,64697,
2527,Kemeko Deluxe!,"Animation,Comedy,Romance,Sci-Fi",tv series,2.0,6.03,1420,
9053,Dragonball Z - OVA: Plan zur Beseitigung der Saiyajins,Adventure,movie,1.0,5.82,804,"""Dr. Raichi, a survivor of the Tuffle race that was eliminated from Planet Vegeta by the Saiyans, is trying to take revenge on the surviving Saiyans by killing them and Earth's population. Goku, Gohan, Piccolo, Trunks, and Vegeta must find and destroy generators emitting deadly Destron Gas before all life on Earth is extinguished, then find Raichi and stop him.::page8701"""
7156,Gegege no Kitarou: Youkai Japan Rally 3D,"Adventure,Cars,Fantasy,Supernatural",movie,1.0,6.12,549,"'A middle-aged businessman has become unhealthily obsessed with a schoolgirl with whom he shares his daily commute. When he tries to make a direct connection with her, it creates dire complications.::The Hoyk', ""Masuo is a hapless salaryman: squat, homely, with receding hairline and few social graces. He lives with his parents and looks older than he is. He has masturbatory fantasies about Anko, a schoolgirl who rides the same train as he. Pictures of her fill his wall. His sister and her boyfriend encourage him to tell Anko how he feels; otherwise, they say, he's a stalker and a pervert. Masuo puts a transmitter in a teddy bear and contrives to give it to Anko along with a note. Now that he has ceased to be anonymous, how will he handle her response? Is the film an examination of a culture's tolerance for older male fantasy and younger female passivity or just the story of one loser?::<jhailey@hotmail.com>"""
33934,Dareka no Santa Claus,Music,movie,1.0,6.51,5051,
517,Keroro takara sagashihayappa takarajima dayone dearimasu,"Animation,Comedy,Sci-Fi",tv series,2.0,7.85,40868,
3308,Time Bokan Series: Gyakuten Ippatsuman,"Action,Comedy,Mecha,Sci-Fi",tv series,3.0,6.38,2197,
