anime_id,name,genre,type,episodes,rating,members,overview
8560,Gozonji! Gekkou Kamen-kun,"Comedy,Parody,Sci-Fi",tv series,2,6.62,20953,"'Caren Ortensia attempts to control the world using money with varying degrees of success, Phantas-Moon receives a movie adaption of her T.V. show, and Shiki is involved in a love plot that spans years.'"
31880,Happiness Charge PreCure! Movie: Ningyou no Kuni no Ballerina,"Fantasy,Kids,Magic,Shoujo",tv series,1,5.74,413,"""Nikaido Kaho is a daughter of a rich family and her whole life everyone's been nice to her. When moving to her new high school dormitory, she almost gets hit by a truck but is saved by a boy. It's love at first sight for Kaho but when asking him his name, he tells her she's weird. Kaho is shocked since it's the first time anyone's ever said mean things to her. Soon enough, she finds out that the boy who saved her lives in the same dormitory and so she bravely confesses her love. The boy says his name is Kanade and agrees to go out with her. Unfortunately, the following day Kaho finds out that her first boyfriend is a 5th grader."""
33524,Noragami,"Animation,Adventure,Comedy,Fantasy",tv series,1,6.8,23745,"'A minor god seeking to gain widespread worship teams up with a human girl he saved to gain fame, recognition and at least one shrine dedicated to him.::Anonymous'"
28115,Karugamo Oyako no Hi no Youjin,"Drama,Kids",tv series,1,6.4,64,"'High school student Junichi Tachibana attempts to find love once again after having his heart broken last Christmas. This series follows his romantic endeavors in a sequence of six separate arcs, each involving a different heroine.'"
33272,Kero Kero Keroppi no Tomodachi ni Narou yo,"Fantasy,Kids",movie,1,4.93,102,"""In Japan, omusubi is a traditional handmade rice ball. Omusubi Kororin is the tale of an honest old man whose rice ball rolls into a hole; a hole that leads to a village of kind field mice. The mice welcome the honest man and offer him a box of gold coins. Learning what happened, the old man's greedy neighbor heads to the village with a handful of his own rice balls and very bad intentions. He attempts to steal a box by force, but the mice have their own plan. This popular folk tale is retold as a puppet play using 2D animation.::Anonymous"""
31476,Horizontal Boundaries,Short,movie,1,5.54,123,"'An examination of certain aspects of the geography of California as the ground for cinematic disruption and restatement.::Anonymous', 'A film that looks at certain aspects of the geography of California as the ground for cinematic disruption and restatement. It is not a static repositioning, but rather a dynamic one, moving more or less randomly, causing image combinations to be generated unpredictably.::Sundance Film Festival'"
20329,Cornelis,"Biography,Drama,Music",movie,10,5.69,4608,"'Biographical account of singer and composer Cornelis Vreeswijk including his breakthrough and his marital problems.::Mattias Thuresson', ""Cornelis is the unique chronicle about one of Sweden's greatest music legends - Cornelis Vreeswijk. An honest and gripping account of an exceptionally talented, but self-destructive artist's intense life both on and behind the stage. A man who during his whole life was searching for love and confirmation.::SF International"", ""In 1964, Cornelis Vreeswijk, a 27 year old mental care student, attends a party where he performs a song he has written. One of the guests is the artist Fred Åkerström who brings Cornelis with him to a record company, Metronome. The company is immediately attracted to his songs and soon after Cornelis' first album is released. He becomes a national sensation, frequently on tour and recording new albums. But his successful career with staying away from home, excessive drinking and his stint in prison puts a strain on his marriage.::Mattias Thuresson"""
6794,Feelings of Mountains and Waters,"Animation,Short,Drama,Music",movie,1,6.99,6302,'A short film about a young girl who cares for a wise old scholar in exchange for guqin lessons.::Simba63'
31181,Daitoshokan no Hitsujikai Picture Drama,"Comedy,Ecchi",tv series,12,8.43,107855,"'A white ermine escapes from an exotic pet store, and is found unconscious by a college student, who takes him home to his apartment complex. Now named ""Kojopî"", he struggles to adapt to his new life in the building; where he encounters the oft-eccentric human tenants, and their pets.::Akira (akira625@comcast.net)'"
9252,Aftermath,"Drama,Thriller",movie,1,7.94,42653,"""Two strangers' lives become inextricably bound together after a devastating plane crash."", ""Two strangers' lives become inextricably bound together after a devastating plane crash. Inspired by actual events, AFTERMATH tells a story of guilt and revenge after an air traffic controller's (Scoot McNairy) error causes the death of a construction foreman's (Arnold Schwarzenegger) wife and daughter."", 'Near Christmas, the construction foreman Roman is eager to welcome his wife and pregnant daughter that are coming home. When he arrives at the airport, he is informed that their plane has crashed with no survivors, destroying his life. The air traffic controller Jacob ""Jake"" Bonaos commits an error and two planes collide. Jake is forced to have another identity and move to another town, being separated from his beloved wife Christina and son. Roman hires a private investigator to locate Jake. When Roman meets him, a tragedy happens.::Claudio Carvalho, Rio de Janeiro, Brazil', ""Eagerly preparing for the return of his wife and his pregnant daughter from Kiev, construction manager Roman Melnyk anxiously awaits their arrival to pick them up at the airport. Instead, Roman will receive the worst news that anyone could ever receive, as well as the irrevocable certainty that his family has perished in a tragic mid-air collision with no survivors. However, in the background of this calamity, another tragedy occurs as the well-meaning air traffic controller and family man Jake who is held accountable is squashed under the weight of his actions. In the end, with so many lives lost unjustly and unexpectedly, in the aftermath of the two men's grief and sorrow, revenge might sound as a sweet alternative, but sometimes, an apology is enough.::Nick Riganas"""
7436,Charley spijbelt,"Drama,Family",tv series,1,6.77,733,
513,Harem Time The Animation,"Harem,Hentai",tv series,1,8.38,151061,"""Destination is a state of mind. A tale of one girl and her bike and the road ahead. Kino wanders around the world on the back of Hermes, her unusual, anthropomorphic motorcycle, only staying in each country for three days. During their adventures, they find happiness, sadness, pain, decadence, violence, beauty, and wisdom. But through it all, they never lose their sense of freedom. They discover that because of the world's imperfections, it is actually a thing of beauty."""
33177,Sweet Home: H na Oneesan wa Suki Desu ka?,"Harem,Hentai",movie,1,3.89,49,"""A mackerel from the sea attempts to escape from the sushi restaurant! 'Flappy' is a mackerel from the sea. It is caught in a net and gets dumped into a restaurant tank. An old flatfish is the only one that's survived that long in a place where death was set. He is the one who gets the trust of other fish from fish farms with his know-hows to survival. Thanks to 'Flappy' who attempts to make it back to the ocean, the peace in the tank is shattered and conflicts with the old flatfish gets bigger and bigger. Will Flappy be able to achieve his dream?::Fuad Alakbari"""
30641,Shin Saishuu Chikan Densha,Hentai,movie,1,7.48,7170,"""While serving time in a brutal women's detention center. Eva wishes away her troubles to a set of tiny Worry Dolls. The dolls crawl in her ear at night and soon Eva becomes possessed.::Zoe Ferguson"""
26327,Tenshi na Konamaiki Specials,Shounen,tv series,1,5.8,70,"'A young man is drawn by his eccentric new girlfriend into her home, a village of eccentrics who live under a bridge on the Arakawa River.::Q. Leo Rahman', ""Kou Ichinomiya is a perfect man with a perfect life: he is handsome, smart, self-sufficient, and the young heir to a grand corporation. One day, he falls into the Arakawa River and nearly drowns, but is saved by a young girl named Nino, who lives in a community under a nearby bridge on the Arakawa. It's the Ichinomiya tradition to never be indebted to anyone and settle all accounts, and now Kou owes Nino a life debt. Her request is that he becomes her lover and lives with her. And so Kou begins a new life as a member of the village under the bridge - a village, he discovers, full of self-deluded and eccentric people. There's the musician who wears a star mask, a male war veteran dressed as a nun and his femme-fatale rival who runs a farm, a hairdresser samurai and many others, all led by a man in a green costume. Still, as time passes Kou begins to truly feel at home at the Arakawa under the bridge.::Q. Leo Rahman"""
2671,Ticonderonga no Iru Umi,"Drama,Historical,Kids",tv series,1,7.32,1156,
1861,Uchuu Enban Dai-Sensou,"Action,Mecha,Romance",movie,1,7.66,7992,'Pepe Benengeli and his team participate in the Japanese Cup.'
5558,Uchuu Koukyoushi Maetel: Ginga Tetsudou 999 Gaiden,"Drama,Sci-Fi,Space",tv series,1,5.7,607,
22893,Itazura The Animation,Hentai,tv series,13,6.71,137,"'Bud Leaf teaches Mary Jane the very vegetable-friendly, Presto Pesto Sandwich.'"
19747,Sekirei: Pure Engagement,"Animation,Action,Comedy,Fantasy,Romance",tv series,2,3.43,144,"""The battle to find the supreme Sekirei continues. Still some of the fighters and their masters refuse to participate in the battle since losing it means to lose the Sekirei forever, and many of them actually care about their partners, while others just use them as tools. A storm is rising on the horizon, a bigger threat approaches the city and it's about to bring pain and suffering to those who love and care for their Sekireis.::Anonymous"""
32282,Hybrid X Heart Magias Academy Ataraxia,"Animation,Action,Comedy,Fantasy,Romance",tv series,13,8.5,185015,"""Hida Kizuna possesses the HHG (Heart Hybrid Gear) ability, but it is not strong enough to make him particularly important. His older sister calls him to transfer to a strategic defense school, where many of the students (many of which are large-breasted girls) use their HHG abilities to fight invaders from another world while wearing extremely skimpy pilot outfits. Kizuna's fighting ability doesn't measure up, but his sister has another plan: Apparently having erotic experiences with Kizuna will allow the girls to replenish their energy or power-up. It looks like his new school life is going to be full of embarrassment."""
26153,Fortune Quest,,movie,1,8.0,51,
6802,Precure All Stars Movie: Minna de Utau♪ - Kiseki no Mahou,"Action,Comedy,Fantasy,Magic,Music,Shoujo",tv series,12,7.6,84390,"'A demon lord commands his forces from a tower. During the ""Summer of Anu"", they lose their power and human army invades the tower to end their threat. Adventurers who have heard about a priceless treasure hidden in the tower join the fight.::Anonymous'"
21539,OVA Kanokon: Manatsu no daishanikusai - Ge,"Animation,Short",movie,52,6.63,87,'Summer break is here and everyone is enjoying the warm weather. Chizura and Nozomu fight to try to get private alone time with Kota and Tayura also wants to make plans of her own.'
24991,"Ai think so,","Animation,Short,Music",movie,6,6.76,58997,
8176,Binetsu Hime: Zange no Shou,Hentai,movie,8,6.05,216,"'Earth has been attacked by the Black Nebula Empire and is threatening to blow up the planet if they are counterattacked, The Yamato crew try to defuse the bomb.'"
22639,Renzu: Futari no Kyori,Hentai,tv series,1,5.73,71,
8179,"Dakara Boku wa, H ga Dekinai OVA","Comedy,Ecchi,Romance",movie,51,5.45,105,
2526,44-hiki no Neko,"Animation,Short,Music",tv series,1,6.4,1596,
34134,The Laws of Eternity,Animation,movie,,,90706,
1638,Mahou Shoujo Isuka,Hentai,movie,41,6.91,2146,"'Shingo is planning the film ""A Story of Two Worlds"" starring Megumi. Yuu\'s transformation into Creamy Mami is happening without her wanting it. She is asked to star in the film too. But the magic doesn\'t last...::Angel Creamy <angelcreamy@aol.com>'"
28069,Uchuu Kaizoku Mito no Daibouken 2: Futari no Joou-sama,"Animation,Action,Adventure,Comedy,Sci-Fi",tv series,1,7.81,41368,
