12683,The Adventures of T-Rex,"Animation,Adventure",tv series,1,6.42,915,
1122,Anime Rakugo Kan,SjommaattoiSSprrrFoommddh,movie,1,7.1,45203,
6328,Miss Monochrome: The Animation 2,"CCookwyy,,yssuoiiccrooff",tv series,1,5.55,1375,
5507,Jewelpet Twinkle,"Siimmsttiil,,RnnyqTkaabee",tv series,26,7.76,77591,
26331,Tanahashi Hiroshi X Mameshiba Pro Wrestling,XleeWpprrttss,movie,1,7.33,53,'A comedy disguised as a psychological thriller with science fiction elements.::Anonymous'
25857,Karaoke Senshi Mike-tarou,ddzMMisso,tv series,1,6.81,803,"'Takatoshi Tsuda joins Ousai Academy, a co-ed high school that until recently had been an all-girl school, where he is asked to join the student council as vice-president and a male representative.::Nolberto Roa'"
10933,Matsumoto Kisaburô ikka monogatari: Ojîsan no daidokoro,Erraakaa,movie,1,6.88,12334,
1018,Tobidashicha dame!,taammKKss,movie,23,6.94,9126,"""Lambert joins the Dragon Slayers' League to save Altera from the Black Dragon."", ""The land of Altera has observed an uneasy peace for years among Humans, Elves and Evil beasts who are loyal to the legendary Black Dragon. But the Black Dragon begins to stir from its hibernation, sending the Beasts marching across Altera. With a beast conquest perilously close, a small group of Humans and Elves unite to try to find a secret hidden road to the Black Dragon's cave and destroy it. But the fate of all of them may be in the hands of the young warrior Lambert, who must summon the confidence and skill to face the Black Dragon himself just when all may be lost.::Mili Pictures"""
8986,Metal Fight Beyblade Zero G Specials,"Adventure,Sports",movie,22,7.2,18528,
22313,Tenchi Muyou! Ryououki 2nd Season,"Action,Comedy,Harem,Sci-Fi,Shounen,Space",tv series,13,5.67,103,
19535,De la Cage aux Roseaux,Fvuummmyy,movie,1,7.17,110,
1915,Cardfight!! Vanguard,"AAjkaayii,,ooonnttsau,,mm--DycciiGii",tv series,26,7.74,35442,"""There are now billions of card game players in the world, to an extent where card games have become a necessity, a part of our lives. The protagonist of this story, Aichi Sendo, is a timid boy in his third year of middle school. He had been living his life looking backward rather than forward, trying not to stand out. However, he had one thing that kept him going - the Blaster Blade, a card from a card game that was given to him when he was little. That card is the reason why he begins to engage in Cardfights, something that changes his life drastically. The name of the card game is Vanguard. The game takes place in a different planet called Cray. It is a place similar to our own planet, but unlike planet Earth, Gods and Demons, Dragons and other mythical creatures still roam the land. It is also a world where both Magic and Science have advanced hand in hand. Countries with advances in different fields and cultures rule over different parts of the planet Cray. And due to a never before seen play system, it becomes popular throughout the world. Aichi, immediately attracted by Vanguard, meets friends such as Misaki Togura and Kamui Katsuragi, along with other rivals. Through friendly rivalry with them, Aichi begins to enjoy a fulfilling life. Aichi, however, has a goal: to once again battle with a Vanguard Fighter by the name of Toshiki Kai. Toshiki Kai is an aloof and cold-hearted high schooler who has outstanding abilities in the world of Vanguard. He is also the reason why Aichi started playing the game. For him, Kai is the person who saved him from his boring life and introduced him to Vanguard. In order to get better at Vanguard, Aichi puts his soul into it every day. He wishes that someday, he'll be able to battle Kai and have him recognize his worth.::TheTVDB"""
9973,Ghost in the Shell: Nyuumon Arise,Vikrt,tv series,1,5.26,143,
19111,"For You, Mama",DDtaamms,movie,13,8.06,91864,
8471,Kashou no Tsuki: Aki Kyougen,"Gkssrrsk,,Tookaabv,,SShhuujjoo,,Wuuwnnaattjaall",tv series,1,5.74,204,'The legendary burglar Lupin III sets off on an adventurous trip across Italy and San Marino.'
3877,Hanaukyou Maid-tai: La Verite,"XlkwxyyEExoHHaafmm,,RRmmaannccee",movie,26,6.32,356,
2065,Koi-ken!: Watashitachi Anime ni Nacchatta!,"EEvhhii,,MMsscc",tv series,2,6.04,950,
32625,Heibai Wushang,"Action,Comedy,Supernatural",movie,7,6.79,2572,"'Yakuza underboss and schoolgirl Hoshi Izumi intends to become a regular student once again following a period of unleashing bloody revenge upon those who murdered the former yakuza boss. However, the fix is in when a classmate dies in a haze of drug-related circumstances. Izumi is compelled to redraw her machine gun and train it on a cadre of unsavoury businessmen, politicians and yakuza.::aghaemi'"
15069,Bakuman,Comedy,tv series,13,5.17,73,
13855,Nijiiro Hotaru: Eien no Natsuyasumi,"Fantasy,Romance,SliceofLife",tv series,6,6.25,4989,"'Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail.::Tyler Smith', 'Lucy, a 17 year old girl, sets out on journey to become a full-fledged wizard and joins the strongest and most (in) famous guild FAIRY TAIL where she meets Natsu, Happy, Gray and Erza, who treat her more like family than friends. This epic series takes us through all the dangers that the members of fairy tail face and eventually overcome through mutual love and friendship.::AnimeLover', 'Lucy, a runaway celestial wizard, finds herself under the curse of a magic charm. Natsu Dragneel, a Dragon Slayer, and his sidekick, Happy, swoop in to save her from being sold on the black market. Causing massive property damage, is a specialty of Fairy Tail, as Lucy is soon to find out as she joins the magical guild. Lucy soon meets Gray and Erza, both are also wizards at Fairy Tail, Gray is an ice wizard with a cool personality and a special ""hobby"". Erza on the other hand is a wizard with requip magic, which allows her to switch armour and weapons at any moment. Through Arcs of all kinds Fairy Tail sticks together::Ariadne'"
6187,Koyomimonogatari,"Animation,Comedy,Drama",tv series,1,7.57,17667,"'In each episode, Koyomi is presented with a mystery posed by one of the female characters from the story, which he then investigates on his own or helps them solve.'"
13287,Shinkon gattai Godannar!!,"Qmmaattooo,,Qfnn,,Finwddyy,,W--",tv series,2,6.91,1105,"'Go and Anna have to join the fight against aliens, on their wedding day.::Ian Gear'"
24417,Vampiyan Kids Specials,"Comedy,Fantasy,Kids",tv series,25,6.29,407,
23477,Yoshimune,Qkmmaaiii,tv series,1,6.38,983,
