anime_id,name,genre,type,episodes,rating,members,overview
14067,Kanashiki Mongoose,"Kids,Music",movie,1.0,6.0,126,"'Biographical account of singer and composer Cornelis Vreeswijk including his breakthrough and his marital problems.::Mattias Thuresson', ""Cornelis is the unique chronicle about one of Sweden's greatest music legends - Cornelis Vreeswijk. An honest and gripping account of an exceptionally talented, but self-destructive artist's intense life both on and behind the stage. A man who during his whole life was searching for love and confirmation.::SF International"", ""In 1964, Cornelis Vreeswijk, a 27 year old mental care student, attends a party where he performs a song he has written. One of the guests is the artist Fred Åkerström who brings Cornelis with him to a record company, Metronome. The company is immediately attracted to his songs and soon after Cornelis' first album is released. He becomes a national sensation, frequently on tour and recording new albums. But his successful career with staying away from home, excessive drinking and his stint in prison puts a strain on his marriage.::Mattias Thuresson"""
16910,One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,"AAvveennuurree,,ooryy,,FFaannttsst,,ljjnn",tv series,13.0,7.06,25564,'A 11-year-old boy who loves soccer and soccer balls.::gazyzz'
10584,Okori Jizou,GssrprrllKKdd,tv series,1.0,5.19,568,
4150,Puka Puka Juju,"Animation,Short,Adventure,Comedy",tv series,1.0,5.71,981,
562,Raldessia Chronicles,"Action,Adventure",tv series,3.0,6.59,1608,
31631,The World of Narue,"SjiiqttiilnnCCoofu,,Tmmscceecckii",tv series,48.0,6.03,6848,"""Now there's no need to wait for individual volumes - you can get the entire epic all at once! Narue is an adorable school girl with a secret. She's really an alien with powers right out of a sci-fi comic book. Join our spunky heroine as she faces androids, alien invaders, and her first date with the boy next door. It's the sci-fi comedy that's a direct hit to your heart.::CPM"""
17987,Fairy Tactician,"AAaagoljttiilnn,,Sevvguurrw,,oot,,s",tv series,1.0,6.49,116,"""Mavis reveals her incredible skill as a strategist as the final event of the Grand Magic Games begins. Meanwhile, Natsu's squad tries to rescue Lucy."""
2118,Itsuka Tenma no Kuro Usagi Picture Drama,"CCkyyDccyiiTmmq,,jydj,,SSoeeyuuaallBaakorrd",tv series,1.0,7.02,2819,
8182,"Inari, Konkon, Koi Iroha","Animation,Comedy,Fantasy,Romance",tv series,156.0,6.65,184,"""Fushimi Inari is a shy, not-so-bright middle school girl living in Kyoto's Fushimi ward. She has a crush on her classmate Tanbabashi, but cannot express her feelings. One day, as thanks for helping a fox pup, the deity Ukanomitamanokami grants her the ability to change her form.::ANN"""
25647,Ee Bandhana,"Drama,Family,Romance",movie,6.0,7.35,9065,
