anime_id,name,genre,type,episodes,rating,members,overview
12429,Anata ga Furikaeru Toki,"Romance,School,Shoujo",tv series,2.0,6.56,4621,"'Kiteretsu Daihyakka is the story of Eichii Kiteretsu, descendant of a great inventor named D. Kiteretsu which the authors say is the cousin of Nobita, Doraemon anime just that much smarter.::Frederico Figueiredo'"
33888,Jubilee,"Comedy,Drama,Fantasy,Music",tv series,3.0,4.67,35,"'Queen Elisabeth I travels 400 years into the future to witness the appalling revelation of a dystopian London overrun by corruption and a vicious gang of punk guerrilla girls led by the new Monarch of Punk.::Nick Riganas', ""From the distant 16th century, Queen Elisabeth I summons the spirit Ariel with the aid of the court's alchemist, the sage Doctor John Dee, to witness the appalling revelation of a dystopian London drowned in filth and plagued with crime. As a result, the Queen horrified with the vivid vision of a broken-down British Empire, asks to travel beyond the veil of time, some 400 years into the future, to see firsthand, that in this futuristic and horrendous new order, the capital is overrun by a corrupt police and that an autonomous vicious gang of punk guerrilla girls led by the new Monarch of Punk, Bod, has declared a multi-levelled open war. Now that Britain is practically a wasteland, where is her Majesty, the righteous Queen Elisabeth II?::Nick Riganas"", 'Queen Elizabeth I travels to late twentieth-century Britain to discover a tawdry and depressing landscape where life mostly seems aimless and is anyway held cheap. Three post-punk girls while away their vacuous existence as best they can, from time-to-time straying into murder to relieve the boredom.::Jeremy Perkins {J-26}'"
1860,Eiyuu Gaiden Mozaicka,Animation,movie,14.0,7.31,43632,
2848,Sky Girls OVA,"Animation,Short,Sci-Fi",tv series,1.0,7.65,6953,"'Earth is at war with aliens. The war has left the male population decimated. This leads to the creation of a mecha unit called the Sonic Divers, piloted by 3 young girls.'"
22625,Gakuen de Jikan yo Tomare,Hentai,tv series,1.0,6.0,75,"""In order to wish for immortality and avenge his father, Garlic Jr. collects the dragon balls, kidnapping Goku's son Gohan in the process. Goku, Kami, Piccolo, and Krillin unite to rescue Gohan and save the world from being sucked into a dead zone.::page8701"""
1182,Cherry no Manma,"Animation,Short,Comedy,Romance",movie,6.0,6.77,6588,'A comedy between a young girl and her two housemaid boyfriends.'
19999,Yumemakura Baku Twilight Gekijou,"Horror,Psychological",tv series,162.0,7.18,72,"""A series of nine flipbook-like vignettes showcasing simple revelations of movement and color. Koji Yamamura's animation refers back to the phenakistoscope, one of the earliest mechanisms used to make drawings move."""
8883,Pretty Rhythm: Dear My Future,"Music,Shoujo,SliceofLife,Sports",movie,3.0,5.61,188,"""In Japan, omusubi is a traditional handmade rice ball. Omusubi Kororin is the tale of an honest old man whose rice ball rolls into a hole; a hole that leads to a village of kind field mice. The mice welcome the honest man and offer him a box of gold coins. Learning what happened, the old man's greedy neighbor heads to the village with a handful of his own rice balls and very bad intentions. He attempts to steal a box by force, but the mice have their own plan. This popular folk tale is retold as a puppet play using 2D animation.::Anonymous"""
31201,Haou Daikei Ryuu Knight: Adeu Legend II,"Action,Adventure,Fantasy,Mecha",tv series,1.0,7.27,408,
597,Astro Boy,"Action,Adventure,Mystery,Sci-Fi",tv series,1.0,7.98,92499,"'As the skies of Metro City fill with giant mechs, Astro, a robot with human emotions and fueled by jet-powered legs, arrives in a blaze of glory to defend all that is good.'"
28591,47 Todoufuken Specials,"Comedy,Kids,Romance",tv series,26.0,3.98,188,"""Yuji disappeared the fateful night he was supposed to choose between a life combating evil by Shana's side or as a normal teenager. He returns from near-death to lead the Crimson Denizens in a dubious plot to bring peace to the universe, but Shana isn't fooled. In an explosive reunion, the fiery warrior faces her unlikeliest of foes while Flame Hazes from across the world join forces to ignite a war that will determine the fate of all supernatural kind."""
3430,Bakumatsu Rock,Animation,movie,2.0,5.85,4703,
1940,Umineko no Naku Koro ni Specials,"Comedy,Parody",tv series,1.0,6.2,2655,"'To have everything is almost as hard as to have nothing. An arrogant businessman faces the abnormal power of a beggar, who helps him realize that to have means to be able to lose.::Teodora Vassileva'"
