anime_id,name,genre,type,episodes,rating,members,overview
33118,Shinzou Ningen Casshern,Action,movie,2,6.65,4237,'Pikachu and friends play peek-a-boo.'
11031,Ken-chan no oneesan,,movie,2,6.56,2589,
8551,Twilight of the Cockroaches,"Animation,Drama,Horror",movie,1,6.09,576,"""A colony of cockroaches lives peacefully in a messy bachelor's apartment until his new girlfriend moves in.::Thomas Pluck <stripey@winternet.com>"", ""A messy bachelor's apartment is a paradise for the huge colony of cockroaches living there: no sprays, no traps, and plenty of food. When the homeowner's girlfriend moves in, however, the party comes to an abrupt end, and the roaches must quickly adapt to a life of struggling for survival. Combines animation with live actors.::Jean-Marc Rocher <rocher@fiberbit.net>"""
19167,Osiris no Tenbin: Season 2,"Drama,Supernatural,Thriller",movie,1,6.31,89,"""Two strangers' lives become inextricably bound together after a devastating plane crash."", ""Two strangers' lives become inextricably bound together after a devastating plane crash. Inspired by actual events, AFTERMATH tells a story of guilt and revenge after an air traffic controller's (Scoot McNairy) error causes the death of a construction foreman's (Arnold Schwarzenegger) wife and daughter."", 'Near Christmas, the construction foreman Roman is eager to welcome his wife and pregnant daughter that are coming home. When he arrives at the airport, he is informed that their plane has crashed with no survivors, destroying his life. The air traffic controller Jacob ""Jake"" Bonaos commits an error and two planes collide. Jake is forced to have another identity and move to another town, being separated from his beloved wife Christina and son. Roman hires a private investigator to locate Jake. When Roman meets him, a tragedy happens.::Claudio Carvalho, Rio de Janeiro, Brazil', ""Eagerly preparing for the return of his wife and his pregnant daughter from Kiev, construction manager Roman Melnyk anxiously awaits their arrival to pick them up at the airport. Instead, Roman will receive the worst news that anyone could ever receive, as well as the irrevocable certainty that his family has perished in a tragic mid-air collision with no survivors. However, in the background of this calamity, another tragedy occurs as the well-meaning air traffic controller and family man Jake who is held accountable is squashed under the weight of his actions. In the end, with so many lives lost unjustly and unexpectedly, in the aftermath of the two men's grief and sorrow, revenge might sound as a sweet alternative, but sometimes, an apology is enough.::Nick Riganas"""
10259,Kwaegeol Longman Narongi,"Adventure,Kids",tv series,1,6.98,7639,"'After passing her entrance exam, Yuno enrolls at Yamabuki High School as part of an art degree. She stays at the Hidamari Apartments along with best friend Miyako, and seniors Hiro and Sae.'"
3009,Ecchi na Shintai Sokutei Anime Edition,Hentai,tv series,105,7.38,4031,"""A young computer hacker who doesn't work for money, steals from big bank corporations sucking every last cent out of them, all while battling the King of America."""
16908,Rin Rin Kangeki! Panda-kun Chi!/Pengin-san no Kokuhaku,"Animation,Comedy",tv series,102,5.83,97,
5561,Hello Kitty no Minna no Mori wo Mamore!,Kids,movie,1,4.94,340,
1808,Nichiro sensô hyaku nen ni maru san kôchi no higeki ha naze okita no ka,History,tv series,26,7.51,30747,
3821,Kugutsu Ai: Doura Gaiden,Hentai,tv series,1,5.85,1515,
31812,Osananajimi to Doukyuusei,"Hentai,School",movie,1,,20335,
6645,Tondera House no Daibouken,"Adventure,Historical,Sci-Fi",tv series,12,6.34,32470,
29954,Saint Seiya: Legend of Crimson Youth,"Animation,Action,Fantasy",movie,1,4.17,222,"'The Sun God Abel returns to life, bent on punishing the humans and cleansing the Earth from their presence. When Athena joins him, leaving humans to their fate, the Bronze Saints must defend the Earth in their greatest battle yet.::Mario J Ramirez', ""Abel the resurrected Sun-God has come to take her sister Athena with him and rule the world together, he plains to destroy humanity in the form of terrible natural disasters, Athena chooses freely to go with Abel. Seiya and the other bronze knights can't believe she has turned her back on them. Abel has his own group of warriors as well as some of the formerly deceased golden knights fighting on his side. The bronze knights will have to fight their way through them to find Athena and save her as well as the Earth.::MRPHANTASM - COSENTINO"""
3452,Wolf's Rain,"Action,Sci-Fi,Animation,Fantasy,Adventure,Drama",tv series,3,6.24,1570,"'In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct.::Anonymous', 'In a post-apocalyptic future where humans live in domed cities surrounded by wasteland, wolves are assumed to be two hundred years extinct. Yet wolves do walk among them, disguising themselves as humans in order to survive in the human world. Now four young wolves will follow the scent of Lunar Flowers on a dangerous quest to find that which legend promises them: Paradise.::Anonymous'"
11679,Thistle One,"Animation,Short",movie,1,5.27,2373,
22893,Itazura The Animation,Hentai,tv series,13,6.71,137,"'Bud Leaf teaches Mary Jane the very vegetable-friendly, Presto Pesto Sandwich.'"
30928,Hanabi,Drama,movie,1,4.0,38,
33023,Planet: Valkyrie,"Animation,Short",movie,12,6.34,30310,
34503,Ie Naki Ko Remi Specials,"Adventure,Drama",movie,24,3.4,75,"'This story involves the shopkeeper Suzuri of Kokumondou who sells historic books and Mizuki, granddaughter of the land owner. When Mizuki releases a somewhat cute young spider demon out of a sealed book, the pair investigate the origins behind it::bbcgjg'"
17092,Heroes,"Drama,Fantasy,Sci-Fi,Thriller",tv series,13,6.64,209,"'Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.', 'People all over the U.S start to realize they have special abilities, like telekinesis, healing abilities, flying powers, time travel, invisibility, and the ability to absorb other\'s abilities. One man, known as Sylar, wants to gain all the power of these ""heroes"" so he can be the most powerful and evolved human of all, and stops at nothing to gruesomely kill these people. In order to protect themselves from him, these people must help one another before Sylar can destroy them all, while they each deal with problems of their own.::Patrick Ozzy Lauzier', 'It starts with ""Save the Cheerleader, Save the World,"" but soon spirals into a never ending battle for right and wrong, life and death. As people across the U.S. discover and use their special abilities in this NBC hit series, their world and lives are turned upside down as a serial killer named Sylar tries to hunt them all and make sure no one becomes as powerful as him. But it\'s not so simple. Sylar isn\'t in control of his hunger for power. Nobody knows when he will strike, or change, or strengthen. Unpredictable is this new world of heroes. And as time goes by, they each learn what the can do for the world. And it\'s not always good.::cippy-cp'"
4848,Cyborg,"Action,Sci-Fi,Thriller",movie,2,5.62,634,"'A martial artist hunts a killer in a plague-infested urban dump of the future.::Anonymous', 'Gibson Rickenbacker is a hired fighter living in a plague-ravaged apocalyptic America where a plague has infested most of the United States and the rest of the world. In New York City, Gibson encounters a woman named Pearl Prophet. Pearl reveals to Gibson that she is a cyborg who is carrying vital-information for a group of scientists in Atlanta who are working on a cure to the plague and Pearl hires Gibson to escort her back to Atlanta. But Pearl is kidnapped by ""Pirates"" a murderous gang led by Fender Tremolo, who wants the cure for themselves and they decide to take Pearl to Atlanta themselves. Gibson, joined by a young woman named Nady Simmons, goes in pursuit of Fender and his gang, as Gibson sets out to rescue Pearl, stop Fender and his gang from reaching Atlanta and defeat Fender who slaughtered Gibson\'s family.::Daniel Williamson', 'Set in a post-apocalyptic future where starvation and disease are plaguing the few remaining inhabitants of Earth. Scientists are close to discovering a cure for the plague that is sweeping the country. Gibson Rickenbacker is a strong fighter who leads a group to Atlanta to gain information needed for the cure, along the way attempting to avoid the villains.::Anonymous', ""A martial artist hunts a killer in a plague-infested urban dump of the future. He is the protective escort for a half-human, half-cyborg woman whose programming contains a possible cure for a plague that's threatening to wipe out the entire population of Earth. But a woman is kidnapped by the martial artist's evil nemesis while they are en route to her Atlanta headquarters. That leads him right into a lion's den of sadomasochistic torture and torment.::Anthony Pereyra {hypersonic91@yahoo.com}"""
4003,Inazuma Eleven Go: Galaxy,"Adventure,Sci-Fi,Sport",tv series,4,6.27,1442,"""Tenma becomes the captain of Japan's national youth team, but for some reason the other members picked are people who know nothing about soccer. Consequently, Tenma and his team must work their way up from the very bottom."", 'A second Football Frontier International, called the ""FFI Vision 2"", is being held to find the best national youth team in the world, and Japan forms it\'s latest version of ""Inazuma Japan"". The best youth players from across the country are gathered as potential players on the team, but to the shock of the country, the people announced as players on the team are unheard of nobodies, with only exceptions being Raimon\'s star players, Shindou Takuto, Tsurugi Kyousuke, and Matsukaze Tenma, the team captain. During an exhibition match Inazuma Japan are trashed with a score of 10 - 1, and it becomes apparent that most members of the team don\'t even know the rules of soccer, let alone how to play it. Tenma faces an seemingly impossible uphill battle to turn a team of total amateurs into one that can can get past the Asian Preliminaries, let alone win get close to winning the tournament. At the same time, he is left wondering why these people were hand-picked for the team in the first place.'"
15729,Purinsesu rabâ!,"Animation,Comedy,Romance",tv series,6,6.75,19407,"""Teppei lost his parents in a traffic accident. His grandpa Isshin adopted him by force to succeed the head of Arima Group Corporation. At Shuuhou, a high school only for wealthy students, Teppei's new life as a celebrity starts.::anonymous"""
2488,DNA Sights 999.9,"Animation,Sci-Fi",movie,1,7.47,7714,
228,Hunter x Hunter Movie: Phantom Rouge,"Action,Adventure,Shounen,SuperPower",movie,26,7.79,172415,'Animation made with pasta about an ugly young woman who wants to change her face.::lukejoplin@infolink.com.br'
22071,Cat Shit One,"Animation,Short,Action,War",movie,1,7.13,19538,"'Botasky and Packy are private contractors, working in the Middle East, with support from a distant helicopter-mobile base. Their jobs are as ""sniper"" and ""spotter"", the spotter is the team lead (as is accurate military protocol). Their assignment is to extract two captives, an ally, and a local. The characters are 1. Rabbits (contractors), and 2. Camels (locals). Rabbits seem to have been chosen due to the Japanese word for Rabbit is Usagi, which can be interpreted to be U.S.A. GI. The Team must interpret the situation, and decide whether to extract the victims themselves or wait for further support. Things seem to be moving rapidly in a negative direction, so the Team elects to split up, and do the extraction themselves. They split up, with Packy going into a village to locate and pull the victims out, and Botasky providing over-watch and sniping support. The fighting is rapid, and smooth, with Packy showing a great deal of speed and agility. The sniping is rapid and smooth. Packy\'s weapon transfers are perfect. His shooting is controlled and precise, no wasted spray and pray mag dumps. The enemy gets ground support, which complicates things, Botasky is located and shut down as a sniper, and the rescue seems to be compromised, until the Team gets it\'s own Air Support.::hankpac'"
29539,Mamoru-kun ni Megami no Shukufuku wo!,"Comedy,Romance,School",movie,1,6.8,60,'The scientist cyborg girl Kuze Airi and her friend the busty half-dog girl Hizuki Ayana go to extremes with the power of science.'
107,KO Seiki Beast Sanjuushi,"Adventure,Comedy,Fantasy,Mecha,Shounen,Supernatural",movie,13,7.34,21920,
