,anime_id,name,genre,type,episodes,rating,members,overview
1,5114,Fullmetal Alchemist: Brotherhood,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",tv series,64,9.26,793665,"[""Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.::ralo229"", 'Two brothers lose their mother to an incurable disease. With the power of ""alchemy"", they use taboo knowledge to resurrect her. The process fails, and as a toll for using this type of alchemy, the older brother, Edward Elric loses his left leg while the younger brother, Alphonse Elric loses his entire body. To save his brother, Edward sacrifices his right arm and is able to affix his brother\'s soul to a suit of armor. With the help of a family friend, Edward receives metal limbs - ""automail"" - to replace his lost ones. With that, Edward vows to search for the Philosopher\'s Stone to return the brothers to their original bodies, even if it means becoming a ""State Alchemist"", one who uses his/her alchemy for the military.::Anonymous', ""When two brothers fail to resurrect their dead mother, resulting in the youngest losing his body and the oldest an arm and leg, they end up joining the military in hopes of finding the Philosopher's Stone, which could return their lost bodies."", ""Abandoned by their father as kids, two young brothers, Edward and Alphonse Elric lived with their mother in a small town called Resembool. After losing their mother to a terminal illness, they try to resurrect her using alchemy - a science which allows you to transform physical matter from one form to another. However human transmutation is strictly forbidden as it cannot be carried out successfully. The resurrection of their mother failed causing Edward to lose his left leg and Alphonse his entire body. Edward manages to save Alphonse's soul by bonding it to a suit of armor by sacrificing his right arm. Determined to recover their bodies, Edward joins the military as a state alchemist and the brothers begin their search for the philosopher's stone. During their journey they discover the truth about the country's history, and the conspiracy at the higher levels of the military and take it upon themselves to save the country's future."", 'After a mother dies and her two sons attempt to revive her using forbidden Alchemy techniques, brothers Edward and Alphonse Elric must pay the price - one loses his entire body, and the other loses an arm and a leg. Now, the two must go to great lengths and embark on incredible, dangerous adventures to get their full bodies back - even if that means using more Alchemy and making some enemies on the way.::Christian Wanamaker', ""After their dad left and their mother died, two brothers use alchemy to bring their dead mother back. One loses a arm and a leg, the other one loses his whole body whose soul has been trapped by his brother in an armor. Together, they enlist army and seek for the philosopher's stone to have a chance to fix the biggest mistake of their life.::Pel Par""]"
2,28977,Gintama,"['Animation', 'Action', 'Comedy', 'Sci-Fi']",tv series,51,9.25,114262,"['In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.', ""In the early 17th century, Japan adopted strict isolation policies and severed almost all ties with foreign countries. In 1853, the US fleet commanded by Admiral Perry forced the doors open, leading to a modernization of the nation's sociopolitical systems and the eventual fall of the Shogunate. The samurai regime ended its life with the imperial restoration in 1868. That's what history tells, but in Gintama, that's not what happens. Instead of the US fleet, the country is stormed by spaceships coming from four corners of the universe and soon we see it occupied by extraterrestrials. The Shogunate has become a puppet of alien occupation armies. All samurais have been disarmed and reduced to temp workers with no skills who just try to make ends meet. Gintama is a story of a handyman named Gintoki, a samurai with no respect for rules set by the invaders, who's ready to take any job to survive. He and his gang, however, are also among the very few who have not forgotten the morale of a swordsman. Wherever they go, all they do is to create troubles. Troubles that they of course try to solve, but in reality...::Crunchyroll.com""]"
3,9253,Steins;Gate: Loading Area of Déjà vu,"['Animation', 'Drama', 'Mystery', 'Romance', 'Sci-Fi', 'Thriller']",movie,24,9.17,673572,"['After the events of the anime, Rintarou begins to feel the repercussions of extensive time travel, and eventually completely fades from reality. Kurisu, being the only companion to remember him, now must find a way to bring him back.::Kyle Khang.', ""The film starts a year after the events of the anime series. After moving through different 'World Lines', Rintarou finally has reached the ideal one, the Steins Gate world line. However, the constant time traveling he has gone through in search of Steins Gate build some side effects to him, which will eventually cause him to...::BuhoGamer""]"
4,9969,Gintama,"['Animation', 'Action', 'Comedy', 'Sci-Fi']",tv series,51,9.16,151266,"['In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.', ""In the early 17th century, Japan adopted strict isolation policies and severed almost all ties with foreign countries. In 1853, the US fleet commanded by Admiral Perry forced the doors open, leading to a modernization of the nation's sociopolitical systems and the eventual fall of the Shogunate. The samurai regime ended its life with the imperial restoration in 1868. That's what history tells, but in Gintama, that's not what happens. Instead of the US fleet, the country is stormed by spaceships coming from four corners of the universe and soon we see it occupied by extraterrestrials. The Shogunate has become a puppet of alien occupation armies. All samurais have been disarmed and reduced to temp workers with no skills who just try to make ends meet. Gintama is a story of a handyman named Gintoki, a samurai with no respect for rules set by the invaders, who's ready to take any job to survive. He and his gang, however, are also among the very few who have not forgotten the morale of a swordsman. Wherever they go, all they do is to create troubles. Troubles that they of course try to solve, but in reality...::Crunchyroll.com""]"
5,32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",tv series,10,9.15,93351,"['In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.', ""In the early 17th century, Japan adopted strict isolation policies and severed almost all ties with foreign countries. In 1853, the US fleet commanded by Admiral Perry forced the doors open, leading to a modernization of the nation's sociopolitical systems and the eventual fall of the Shogunate. The samurai regime ended its life with the imperial restoration in 1868. That's what history tells, but in Gintama, that's not what happens. Instead of the US fleet, the country is stormed by spaceships coming from four corners of the universe and soon we see it occupied by extraterrestrials. The Shogunate has become a puppet of alien occupation armies. All samurais have been disarmed and reduced to temp workers with no skills who just try to make ends meet. Gintama is a story of a handyman named Gintoki, a samurai with no respect for rules set by the invaders, who's ready to take any job to survive. He and his gang, however, are also among the very few who have not forgotten the morale of a swordsman. Wherever they go, all they do is to create troubles. Troubles that they of course try to solve, but in reality...::Crunchyroll.com""]"
6,11061,Hunter x Hunter,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']",tv series,148,9.13,425855,"['Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.', 'Gon Freecss is a young boy living on Whale Island. He learns from ""Hunter"" Kite, that his father, who he was told was dead, is still alive somewhere as a top ""Hunter,"" risking his life to seek unknown items, such as hidden treasures, curiosa, exotic living creatures, etc. Gon decides to become a professional Hunter and leaves the island. To become a Hunter, he must pass the Hunter Examination, where he meets and befriends three other applicants: Kurapika, Leorio and Killua. Can Gon pass this formidable hurdle, the Hunter Examination, to become ""the Best Hunter in the World"" and eventually meet his father?::Nippon Television Network', ""Remake of the 1999 TV series of Hunter x Hunter based on the manga by Togashi Yoshihiro. A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him. After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapica, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.::kissanime.com/Anime/Hunter-x-Hunter-2011"", 'The story begins with a young boy named Gon Freecss, who one day discovers that the father whom he thought was dead, is in fact alive and well. He learns that his father, Ging, is a legendary ""Hunter"", an individual who has proven themselves an elite member of humanity. Despite the fact that Ging left his son with his relatives in order to pursue his own dreams, Gon becomes determined to follow in his father\'s footsteps, pass the rigorous ""Hunter Examination"", and eventually find his father to become a Hunter in his own right and wishing to see his father one day.::ForLand HuChy']"
7,820,Legend of the Galactic Heroes: Overture to a New War,"['Animation', 'Romance', 'Sci-Fi', 'War']",movie,110,9.11,80679,"['The recently ennobled Reinhard Von Lohengramm who on suspicion of imperial favouritism and nepotism is facing resistance from his peers, and Yang Wen-Li the unwilling hero of the opposite faction, must prove their worth in the Battle of Astate...::arpan chakraborty']"
8,15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",movie,1,9.1,72534,"['The recently ennobled Reinhard Von Lohengramm who on suspicion of imperial favouritism and nepotism is facing resistance from his peers, and Yang Wen-Li the unwilling hero of the opposite faction, must prove their worth in the Battle of Astate...::arpan chakraborty']"
9,15417,Gintama: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",movie,13,9.11,81109,"['The recently ennobled Reinhard Von Lohengramm who on suspicion of imperial favouritism and nepotism is facing resistance from his peers, and Yang Wen-Li the unwilling hero of the opposite faction, must prove their worth in the Battle of Astate...::arpan chakraborty']"
10,4181,Clannad: After Story,"['Animation', 'Comedy', 'Drama', 'Romance']",tv series,24,9.06,456749,"[""A sequel to the recently wrapped anime based on the Key Clannad franchise. After Story is a path that opens in the original visual novel after all the other paths have been opened. Life continues on for Tomoya. A few months have passed since he confessed his love to Nagisa. Now entering the second semester, he continues to meet a variety of different people, expanding his own world in the process. As well, Tomoya and Nagisa's relationship begins to enter a level of intimacy unlike before. Through his relationship with Nagisa, and his various encounters, Tomoya begins to understand the meaning and importance of family. Unfortunately, as Tomoya and Nagisa begin their own family together, they are faced with many hardships and challenges along the way. The sequel to the first anime, Clannad. After confessing his love for Nagisa Furukawa, life for Tomoya goes on. As he continues to meet and help more people with their own family problems, Tomoya's relationship with Nagisa grows to a greater level than ever before. Through his various encounters and the start of his new family with Nagisa, Tomoya will finally begin to understand the value of the most precious thing that we have in this world; the value of having a family.::Anonymous""]"
